S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,F,25.0,0.675,97.3,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
,As,10.0,9.4,6.0,6.0,,0.8,5.0,42.10526316,,,15.0,2.0,Al,Batch,190.0,
72.0,F,5.0,0.4,92.0,4.0,10.5,4.76,2.0,200.0,,0.01,30.0,400.0,al,batch,238.0,31.0
,As,10.0,9.45,5.5,8.0,,1.2,5.0,63.15789474,,,5.0,2.0,Al,Batch,190.0,
24.0,F,10.0,9.3,7.0,7.0,7.0,3.0,5.0,300.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
27.0,F,10.0,5.6,44.0,7.0,,2.0,10.0,200.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
39.0,As,0.5,0.025,95.0,7.0,,0.1,3.0,4.5,3.0,,5.0,1000.0,Fe,batch,22.22,8.0
65.0,F,5.0,0.3,94.0,6.0,,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
125.0,F,1.0,0.11,89.0,4.0,,0.15,2.0,1.25,5.0,,40.0,3375.0,Al,batch,120.0,22.0
,F,7.27,3.14,56.82,6.0,,0.148,0.6,50.0,,,14.0,0.45,Al,Batch,29.6,
,As,10.0,9.98,0.2,6.0,,0.8,5.0,42.10526316,,,2.5,2.0,Al,Batch,190.0,
81.0,As,0.15,0.00945,93.7,7.0,8.2,0.11,1.3,0.5022,1.8,,10.0,750.0,Al,batch,219.0,10.0
52.0,As,15.0,0.105,99.3,4.0,,0.1,3.0,7.5,3.0,,30.0,1000.0,Fe,batch,13.33,8.0
,F,7.27,5.04,30.67,6.0,,0.148,0.6,50.0,,,10.0,0.45,Al,Batch,29.6,
,F,7.27,4.13,43.23,7.0,,0.1184,0.6,40.0,,,7.0,0.45,Al,Batch,29.6,
,As,50.0,2.5,95.0,4.0,,1.498,0.5,10.7,15.0,,10.0,1400.0,Fe,batch,1400.0,9.0
,As,0.0159,0.0001431,99.1,7.4,7.61,0.11,1.3,5.0,0.79,,10.0,800.0,Fe,batch,219.0,43.0
,F,125.0,45.8,63.36,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
,As,10.0,6.1,39.0,6.0,,0.4,5.0,21.05263158,,,5.0,2.0,Fe,Batch,190.0,
,F,15.0,9.0,40.0,7.4,7.4,0.25,1.5,25.0,,,20.0,1000.0,Al,batch,100.0,41.0
119.0,F,12.0,1.4004,88.33,7.0,,0.512,1.0,1.0,30.0,710.0,95.0,,Al,batch,512.0,20.0
21.0,F,10.0,9.0,10.0,7.0,7.0,3.0,5.0,300.0,,0.1,15.0,1000.0,al,batch,100.0,30.0
,As,30.0,25.2,16.0,6.0,,0.2,5.0,10.52631579,,,5.0,2.0,Fe,Batch,190.0,
,As,10.0,9.5,5.0,8.0,,1.2,5.0,63.15789474,,,30.0,2.0,Al,Batch,190.0,
,F,7.27,2.15,70.43,4.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
109.0,F,7.06,0.530206,92.49,1.04,1.72,0.3,0.5,50.0,1.34,,30.0,2000.0,Al,batch,60.0,15.0
88.0,As,0.5,0.22895,54.21,9.0,,0.16668,2.0,13.89,,,20.0,4000.0,Al-Al,batch,120.0,11.0
,As,30.0,0.03,99.9,6.0,,0.8,5.0,42.10526316,,,90.0,2.0,Fe,Batch,190.0,
,As,10.0,0.15,98.5,4.0,,1.2,5.0,63.15789474,,,120.0,2.0,Al,Batch,190.0,
,F,50.0,26.0,48.0,3.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
,As,0.205,0.0369,82.0,10.0,,0.24,1.5,30.0,,,17.5,0.25,Fe,Batch,80.0,
,As,0.275,0.0037675,98.63,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,10.0,0.06,99.4,5.0,5.0,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
,F,7.27,1.15,84.15,5.0,,0.1776,0.6,60.0,,,21.0,0.45,Al,Batch,29.6,
,As,10.0,0.05,99.5,5.0,5.0,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
172.0,F,10.0,1.6,84.0,7.0,,0.2,1.0,2.0,,,20.0,600.0,Al,batch,100.0,30.0
,As,0.55,0.006435,98.83,7.0,9.0,0.512,1.0,10.0,,714.3,120.0,1400.0,Al,batch,512.0,39.0
,As,0.1,0.08174,18.26,7.0,,0.5,1.0,8.928571429,,,2.0,1.7,Al,Batch,560.0,
102.0,F,5.0,3.55,29.0,5.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
