S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
73.0,As,0.5,0.0005,99.9,7.0,,0.3,3.0,4.7,3.0,,2.0,1000.0,Al-Fe,batch,63.83,8.0
176.0,F,10.0,2.12,78.8,6.0,6.35,1.0,3.0,275.8,25.0,,180.0,1000.0,Fe,batch,36.25,32.0
,As,100.0,55.0,45.0,7.0,,0.021,1.5,50.0,15.0,100.0,60.0,250.0,Fe,batch,4.2,3.0
,As,0.205,0.0287,86.0,6.5,,0.96,1.5,120.0,,,5.0,0.25,Fe,Batch,80.0,
,As,0.1,0.0042,95.8,7.4,7.52,0.11,1.3,5.0,1.07,,10.0,800.0,Fe,batch,219.0,43.0
,As,0.275,0.0005775,99.79,,,0.1,1.5,20.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,0.6,0.1668,72.2,7.4,7.4,0.1,1.5,10.0,,,2.2,1120.0,Fe,batch,100.0,40.0
,As,50.0,6.5,87.0,6.0,,0.756,0.5,5.4,15.0,,20.0,1400.0,Fe,batch,1400.0,9.0
,F,12.0,1.8168,84.86,7.0,9.5,1.792,1.0,35.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
,As,10.0,0.2,98.0,6.0,,1.2,5.0,63.15789474,,,30.0,2.0,Fe,Batch,190.0,
,F,12.0,2.1372,82.19,7.0,9.4,1.792,1.0,35.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
45.0,F,5.0,4.3,14.0,6.0,,2.38,2.0,100.0,,0.01,15.0,400.0,al,batch,238.0,31.0
14.0,As,1230.0,129.15,89.5,4.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
32.0,F,10.0,8.2,18.0,7.0,,2.0,7.5,200.0,,0.1,15.0,1000.0,al,batch,100.0,30.0
,As,30.0,0.03,99.9,6.0,,1.2,5.0,63.15789474,,,90.0,2.0,Fe,Batch,190.0,
,F,7.0,4.06,42.0,7.4,7.4,0.1,1.5,10.0,,,37.0,1000.0,Al,batch,100.0,41.0
77.0,F,5.0,0.4,92.0,5.0,10.4,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,F,20.0,5.8,71.0,6.0,,4.0,0.5,25.0,,,60.0,8000.0,Al,batch,1600.0,16.0
,F,7.27,2.61,64.05,6.0,,0.1876936,0.6,63.41,,,14.0,0.45,Al,Batch,29.6,
,As,10.0,9.89,1.1,4.0,,1.2,5.0,63.15789474,,,15.0,2.0,Al,Batch,190.0,
,As,0.205,0.0246,88.0,3.0,,0.96,1.5,120.0,,,17.5,0.25,Al,Batch,80.0,
,F,7.27,2.91,59.98,7.0,,0.1184,0.6,40.0,,,21.0,0.45,Al,Batch,29.6,
,As,0.205,0.0082,96.0,6.5,,0.6,1.5,75.0,,,17.5,0.25,Fe,Batch,80.0,
47.0,F,5.0,4.65,7.0,6.0,,2.38,2.0,100.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,As,10.0,7.2,28.0,6.0,,0.8,5.0,42.10526316,,,2.5,2.0,Fe,Batch,190.0,
,As,10.0,0.4,96.0,6.0,,1.2,5.0,63.15789474,,,10.0,2.0,Fe,Batch,190.0,
,As,0.1,0.05753,42.47,7.0,,0.5,1.0,8.928571429,,,2.0,1.7,Fe,Batch,560.0,
,F,50.0,12.0,76.0,8.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
,As,0.1,0.03694,63.06,7.0,,0.35,1.0,6.25,,,6.0,1.7,Fe,Batch,560.0,
,As,0.205,0.041,80.0,6.5,,0.6,1.5,75.0,,,17.5,0.25,Al,Batch,80.0,
,F,100.0,35.6,64.4,9.0,,6.0,3.0,250.0,,,10.0,2.0,Al,Batch,240.0,
,As,0.4,0.08,80.0,6.5,,0.6,1.5,75.0,,,5.0,0.25,Fe,Batch,80.0,
51.0,As,100.0,6.0,94.0,7.0,,0.1,3.0,15.0,3.0,,50.0,1000.0,Fe,batch,6.67,8.0
,As,0.205,0.0574,72.0,10.0,,0.24,1.5,30.0,,,17.5,0.25,Al,Batch,80.0,
,As,10.0,4.2,58.0,6.0,,1.2,5.0,63.15789474,,,2.5,2.0,Fe,Batch,190.0,
56.0,F,5.0,0.8,84.0,6.0,,2.38,2.0,100.0,,0.01,10.0,400.0,al,batch,238.0,31.0
22.0,As,13.4,0.938,93.0,2.4,,0.375,3.0,300.0,,,30.0,250.0,Al,batch,12.5,2.0
30.0,F,10.0,7.1,29.0,7.0,,2.0,10.0,200.0,,0.1,10.0,1000.0,al,batch,100.0,30.0
,As,0.275,0.00242,99.12,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,F,10.0,1.95,80.5,6.0,,3.0,0.5,18.75,,,60.0,8000.0,Al,batch,1600.0,16.0
80.0,F,5.0,0.8,84.0,6.0,10.21,4.76,2.0,200.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,F,50.0,10.0,80.0,6.0,,0.12500408,2.0,18.86,,,40.0,1500.0,Fe,batch,66.28,21.0
,F,5.0,4.84,3.2,7.4,7.4,0.1,1.5,10.0,,,3.0,1000.0,Al,batch,100.0,41.0
,As,0.1,0.0005,99.5,7.4,7.95,0.2,1.3,9.2,1.85,,10.0,800.0,Fe,batch,219.0,43.0
,As,0.01,0.004,60.0,6.5,,0.6,1.5,75.0,,,30.0,0.25,Al,Batch,80.0,
,F,12.0,4.7748,60.21,11.0,9.8,1.792,1.0,35.0,,714.3,10.0,1400.0,Al,batch,512.0,39.0
25.0,F,10.0,7.4,26.0,7.0,,2.0,5.0,200.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
,F,50.0,5.78,88.44,5.0,,6.0,3.0,250.0,,,10.0,2.0,Al,Batch,240.0,
85.0,As,0.5,0.01535,96.93,9.0,,0.16668,2.0,13.89,,,40.0,4000.0,Fe-Fe,batch,120.0,11.0
,F,75.0,24.6,67.2,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
,As,50.0,4.5,91.0,4.0,,1.246,0.5,8.9,15.0,,10.0,1400.0,Fe,batch,1400.0,9.0
,As,0.362,0.015928,95.6,7.4,7.4,0.1,1.5,10.0,,,5.8,1120.0,Fe,batch,100.0,40.0
,As,50.0,10.0,80.0,8.0,,0.756,0.5,5.4,15.0,,20.0,1400.0,Fe,batch,1400.0,9.0
,As,0.275,5.5e-05,99.98,,,0.075,1.5,15.0,,,60.0,1500.0,Fe,batch,50.0,45.0
9.0,F,10.0,7.0,30.0,10.0,9.2,0.46875,0.5,18.75,30.0,0.1,60.0,3600.0,al,batch,250.0,38.0
185.0,F,190.0,49.97,73.7,3.0,7.3,9.984,0.5,120.0,,,10.0,495.0,Al,batch,832.0,33.0
,As,0.275,0.000935,99.66,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
85.0,As,0.5,0.13365,73.27,9.0,,0.16668,2.0,13.89,,,20.0,4000.0,Fe-Fe,batch,120.0,11.0
,As,50.0,43.0,14.0,6.0,,0.8,5.0,42.10526316,,,10.0,2.0,Fe,Batch,190.0,
21.0,As,13.4,10.5056,21.6,2.4,,0.375,3.0,300.0,,,10.0,250.0,Al,batch,12.5,2.0
,As,0.1,0.04582,54.18,7.0,,0.35,1.0,6.25,,,6.0,1.7,Fe,Batch,560.0,
64.0,As,0.145,0.01015,93.0,7.42,,0.05,3.0,0.25,3.0,,8.0,1000.0,Fe,batch,200.0,8.0
80.0,As,0.15,0.00645,95.7,7.0,8.0,0.05,1.3,0.2283,1.5,,15.0,750.0,Al,batch,219.0,10.0
74.0,F,5.0,0.85,83.0,5.0,10.1,4.76,2.0,200.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,As,0.3875,0.006045,98.44,,,0.0625,1.5,12.5,,,26.25,1500.0,Fe,batch,50.0,45.0
76.0,As,0.15,0.00975,93.5,6.5,7.8,0.05,1.3,0.228,0.8,,12.5,750.0,Fe,batch,219.0,10.0
